,date_added,date_last_used,guid,id,meta_info,name,type,url,children,date_modified,folder_name
0,13312822384278643,13312822398993266,bce2c3f0-b7b5-4b4d-8d7b-9d769e7a0b01,5,{'power_bookmark_meta': ''},Continuous Integration with GitHub | CircleCI - CircleCI,url,https://circleci.com/ja/integrations/github/?utm_source=google&utm_medium=sem&utm_campaign=sem-google-dg--japac-ja-github-maxConv-auth-nb&utm_term=g_e-github_c__ad4_20211013&utm_content=sem-google-dg--japac-ja-github-maxConv-auth-nb_keyword-text_eta-github_exact-&gclid=EAIaIQobChMI0fr5vqur-wIVi6mWCh1y9gFsEAAYASAAEgIsSPD_BwE,,,Bookmarks bar
1,13312823826666165,0,e7cfed53-b1b4-4c57-8814-f2fc60d227a9,7,{'power_bookmark_meta': ''},Google,url,https://www.google.com/,,,Bookmarks bar
2,13312823932107465,0,fdcfa09b-c93a-4521-8078-5a6b36aecead,9,,bingfolder,folder,,"[{'date_added': '13312823914802956', 'date_last_used': '0', 'guid': '096cd9ea-05e9-430a-9fcb-72091dc75c80', 'id': '8', 'meta_info': {'power_bookmark_meta': ''}, 'name': 'Bing', 'type': 'url', 'url': 'https://cn.bing.com/?toWww=1&redig=509A8967349748A7A3ECA607CD4F95BC'}]",13312823932107832,Bookmarks bar
0,13312822429981759,0,1de330ea-c06e-44b0-8dc9-9245d778d33d,6,{'power_bookmark_meta': ''},qq” œ‰ - Google Search,url,https://www.google.com/search?q=qq%E9%82%AE%E7%AE%B1&oq=&aqs=chrome.1.69i59i450l2.66425j0j7&sourceid=chrome&ie=UTF-8,,,Other bookmarks
